ent,entidad,mun,municipio,presidente,partido,periodo
10,Durango,,Durango,Jorge Alejandro Salum del Palacio,PAN,2019-2022
10,Durango,,General Simón Bolívar,Sergio Cerda Moreno,PAN,2019-2022
10,Durango,,Gómez Palacio,Alma Marina Vitela Rodríguez,MORENA,2019-2022
10,Durango,,Guadalupe Victoria,Agustín Sosa Ramírez,PAN,2019-2022
10,Durango,,Guanaceví,Rogelio Ayala Arzola,PRI,2019-2022
10,Durango,,Hidalgo,Dora María Bustamante Favela,PT,2019-2022
10,Durango,,Indé,Lorena Lucero Bustamante,PRI,2019-2022
10,Durango,,Lerdo,Homero Martínez Cabrera,PRI,2019-2022
10,Durango,,Mapimí,Marisol Peña Rodríguez,PRI,2019-2022
10,Durango,,San Francisco del Mezquital,José Osbaldo Santillán Gómez,PRI,2019-2022
10,Durango,,Nazas,María del Socorro Palacio Jaquez,PAN,2019-2022
10,Durango,,Nombre de Dios,Daniel Sifuentes Salas,PAN,2019-2022
10,Durango,,Ocampo,María del Socorro García Armendaríz,PRI,2019-2022
10,Durango,,El Oro,Ismael Mata Alvarado,PAN,2019-2022
10,Durango,,Otáez,Héctor Herrera Nuñez,MORENA,2019-2022
10,Durango,,Panuco de Coronado,Edmundo Mauricio Gándara González,PRI,2019-2022
10,Durango,,Peñón Blanco,José Naum Amaya López,PRI,2019-2022
10,Durango,,Poanas,José Luis Valdez Valenciano,MC,2019-2022
10,Durango,,Pueblo Nuevo,Adrián Noel Chaparro Gandara,PRI,2019-2022
10,Durango,,Rodeo,María de la Luz Amaya Parra,PAN,2019-2022
10,Durango,,San Bernardo,Alejandro Muñoz Hernández,PAN,2019-2022
10,Durango,,San Dimas,Jesús Alejandro Gurrola Romero,PAN,2019-2022
10,Durango,,San Juan de Guadalupe,Efraín Padilla Flores,PRI,2019-2022
10,Durango,,San Juan del Río,Jaime Escajeda Martínez,PRI,2019-2022
10,Durango,,San Luis del Cordero,María Mayela Ruiz,PAN,2019-2022
10,Durango,,San Pedro del Gallo,Reginaldo Carrillo Valdez,PAN,2019-2022
10,Durango,,Santa Clara,María Abigail Frayre Carranza,PRI,2019-2022
10,Durango,,Santiago Papasquiaro,Julián César Rivas Nevarez,PAN,2019-2022
10,Durango,,Súchil,Abel Santoyo Salas,PAN,2019-2022
10,Durango,,Tamazula,José Ángel Beldrán Félix,PRI,2019-2022
10,Durango,,Tepehuanes,Eder Raúl Gutiérrez Díaz,PRI,2019-2022
10,Durango,,Tlahualilo,Alejandro Rodríguez Belmontes,PRI,2019-2022
