idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8325356;VIOLACION;VIOLACIÓN;2019-01-05 04:00:00;2019;Enero;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0716806294854;19.4835272657273;19.4835272657,-99.0716806295
8326072;VIOLACION;VIOLACIÓN;2019-01-06 21:00:00;2019;Enero;Femenino;64;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8327189;VIOLACION;VIOLACIÓN;2019-01-07 07:00:00;2019;Enero;Femenino;24;FISICA;VICTIMA;INCOMPETENCIAS;NA;NA;
8327436;VIOLACION;VIOLACIÓN;2019-01-08 14:30:00;2019;Enero;Femenino;29;FISICA;VICTIMA;FUERO COMUN;-99.1848852490826;19.4021876834759;19.4021876835,-99.1848852491
8327528;VIOLACION;VIOLACIÓN;2019-01-08 04:00:00;2019;Enero;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8328114;VIOLACION;VIOLACIÓN;2019-01-09 14:20:00;2019;Enero;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2934982052639;19.3383493962797;19.3383493963,-99.2934982053
8329911;VIOLACION;VIOLACIÓN;2017-01-02 14:00:00;2017;Enero;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1424304867635;19.4401384694371;19.4401384694,-99.1424304868
8331086;VIOLACION;VIOLACIÓN;2019-01-10 20:30:00;2019;Enero;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1904346406112;19.3437895689089;19.3437895689,-99.1904346406
8331685;VIOLACION;VIOLACIÓN;2019-01-14 03:00:00;2019;Enero;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1594532010349;19.4468278954188;19.4468278954,-99.159453201
8331906;VIOLACION;VIOLACIÓN;2019-01-12 21:00:00;2019;Enero;Femenino;27;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1373136009826;19.4361608973444;19.4361608973,-99.137313601
8331944;VIOLACION;VIOLACIÓN;2019-01-01 12:00:00;2019;Enero;Femenino;33;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8332410;VIOLACION;VIOLACIÓN;2018-03-03 15:00:00;2018;Marzo;Femenino;12;FISICA;VICTIMA;FUERO COMUN;-99.0200628106483;19.371997563538;19.3719975635,-99.0200628106
8377428;VIOLACION;VIOLACIÓN;2019-03-09 01:30:00;2019;Marzo;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1808691011091;19.3446607957879;19.3446607958,-99.1808691011
8377434;VIOLACION;VIOLACIÓN;2019-03-11 04:00:00;2019;Marzo;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1137969999691;19.4977577001406;19.4977577001,-99.113797
8377863;VIOLACION;VIOLACIÓN;2013-07-12 12:00:00;2013;Julio;Masculino;20;FISICA;VICTIMA;FUERO COMUN;-99.1370985003513;19.4744194033619;19.4744194034,-99.1370985004
8378064;VIOLACION;VIOLACIÓN;2001-12-28 17:00:00;2001;Diciembre;Masculino;32;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1652092707511;19.2913593143988;19.2913593144,-99.1652092708
8378481;VIOLACION;VIOLACIÓN;2015-01-01 00:00:00;2015;Enero;Femenino;16;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8378847;VIOLACION;VIOLACIÓN;2019-03-12 12:00:00;2019;Marzo;Masculino;15;FISICA;VICTIMA;FUERO COMUN;-99.2216245108476;19.2887579725232;19.2887579725,-99.2216245108
8379153;VIOLACION;VIOLACIÓN;2019-03-13 13:00:00;2019;Marzo;Femenino;29;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8379478;VIOLACION;VIOLACIÓN;2019-03-13 18:30:00;2019;Marzo;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8380299;VIOLACION;VIOLACIÓN;2019-03-14 13:00:00;2019;Marzo;Femenino;27;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1137969998358;19.2708859982653;19.2708859983,-99.1137969998
8380528;VIOLACION;VIOLACIÓN;2019-03-15 07:20:00;2019;Marzo;Femenino;13;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8381645;VIOLACION;VIOLACIÓN;2019-03-15 20:30:00;2019;Marzo;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1437343047132;19.4872789713655;19.4872789714,-99.1437343047
8381979;VIOLACION;VIOLACIÓN;2019-03-17 04:00:00;2019;Marzo;Femenino;35;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1853197017402;19.3802696986873;19.3802696987,-99.1853197017
8382716;VIOLACION;VIOLACIÓN;2019-03-13 20:50:00;2019;Marzo;Femenino;13;FISICA;VICTIMA;FUERO COMUN;-99.3342890808003;19.3069341066241;19.3069341066,-99.3342890808
8382771;VIOLACION;VIOLACIÓN;2019-03-15 06:00:00;2019;Marzo;Femenino;16;FISICA;VICTIMA;FUERO COMUN;-99.1250672041808;19.4196695878912;19.4196695879,-99.1250672042
8383872;VIOLACION;VIOLACIÓN;2019-03-19 18:30:00;2019;Marzo;Femenino;16;FISICA;VICTIMA;FUERO COMUN;-99.1497664007416;19.4458446952333;19.4458446952,-99.1497664007
