idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8439116;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 17:10:00;2019;Mayo;Masculino;24;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1254349006183;19.4476774993105;19.4476774993,-99.1254349006
8439118;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 10:45:00;2019;Mayo;Femenino;39;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0280891999762;19.325237898887;19.3252378989,-99.0280892
8439205;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 06:15:00;2019;Mayo;Masculino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.17113702511;19.3021741912948;19.3021741913,-99.1711370251
8439209;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 14:45:00;2019;Mayo;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1658011011384;19.4479473021996;19.4479473022,-99.1658011011
8439253;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 14:30:00;2019;Mayo;Masculino;38;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1123462763889;19.3879787662964;19.3879787663,-99.1123462764
8439291;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-13 14:00:00;2019;Mayo;NA;NA;MORAL;VICTIMA;INCOMPETENCIAS;NA;NA;
8439313;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-28 19:00:00;2019;Mayo;Femenino;57;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.194450493978;19.4848796600157;19.48487966,-99.194450494
8439419;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 23:10:00;2019;Mayo;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2001974012063;19.4904719025543;19.4904719026,-99.2001974012
8439463;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-23 12:00:00;2019;Mayo;NA;NA;MORAL;VICTIMA;FUERO COMUN;-99.0774129483157;19.2562392443588;19.2562392444,-99.0774129483
8439615;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-30 08:00:00;2019;Mayo;NA;NA;MORAL;VICTIMA;FUERO COMUN;-99.1584707837034;19.4737575124789;19.4737575125,-99.1584707837
8439766;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 19:10:00;2019;Mayo;Masculino;44;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1111459962714;19.3900083842967;19.3900083843,-99.1111459963
8439791;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-23 23:50:00;2019;Mayo;Masculino;71;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1564994005493;19.3770648026649;19.3770648027,-99.1564994005
8439898;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 19:40:00;2019;Mayo;Masculino;45;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1857121009738;19.4561224956389;19.4561224956,-99.185712101
8440007;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-10 12:00:00;2019;Mayo;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1552245625629;19.4056512099094;19.4056512099,-99.1552245626
8440017;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-09 16:00:00;2019;Mayo;Masculino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0754150264609;19.3184621992108;19.3184621992,-99.0754150265
8440074;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-27 15:30:00;2019;Mayo;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8440185;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-30 19:40:00;2019;Mayo;Masculino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.173967033339;19.4387416576508;19.4387416577,-99.1739670333
